Title,Rating,Votes,Duration,Storyline,content
Parallel,5.4, (2.4K),1h 28m,"Follows the journey of Vanessa, a grief-stricken woman who mysteriously finds herself navigating between parallel spaces.",parallel follows journey vanessa griefstricken woman mysteriously find navigating parallel space
Teacher's Pet,5.1, (47),1h 14m,"A student uses manipulation to start an affair with his teacher. As she attempts to break it off, mysterious deaths occur in her circle. Her survival hangs in the balance.",teacher pet student us manipulation start affair teacher attempt break mysterious death occur circle survival hang balance
Silver Star,6.1, (1.3K),1h 42m,"Billie, a young African American woman recently released from prison, kidnaps a pregnant teenager during a failed bank robbery. With nothing left to lose, they set off on a journey together.",silver star billie young african american woman recently released prison kidnaps pregnant teenager failed bank robbery nothing left lose set journey together
Havnaa,6.7, (609),1h 50m,"Follows real-life happenings of Magne Havnaa, Norway's first cruiserweight boxing champion in 1990 by defeating American Richard Pultz. His brother Erling was a top-ranked kickboxer who later participated in Norway's largest robbery.",havnaa follows reallife happening magne havnaa norway first cruiserweight boxing champion defeating american richard pultz brother erling topranked kickboxer later participated norway largest robbery
The Deserter,6.1, (123),1h 33m,"1945: The last days of the war. In a remote mountain hut, Anton, a deserted SS man, and Hannah, a Jewish woman, meet. From distrust, feelings develop between the two. But the danger is ever present. For the two, the war is far from over.",deserter last day war remote mountain hut anton deserted s man hannah jewish woman meet distrust feeling develop two danger ever present two war far
The Last Kumite,4.7, (2.7K),1h 45m,"One last kumite, one final battle - for the life of his daughter.",last kumite one last kumite one final battle life daughter
To Live Through Death,6.2, (122),1h 31m,"After a tragic loss of his family, Chen, an ex criminal changes his face with cosmetic surgery and becomes a cook in a restaurant. Fifteen years later a woman asks him for help against human traffic gangs.",live death tragic loss family chen ex criminal change face cosmetic surgery becomes cook restaurant fifteen year later woman asks help human traffic gang
Stag,5.3, (778),1h 27m,"Gold reappears after vanishing for months. His car breaks down in a remote area. He meets peculiar people in a house. Waking up in his car, he questions if it was a dream or reality.",stag gold reappears vanishing month car break remote area meet peculiar people house waking car question dream reality
Max,7.1, (4K),2h 12m,"Inspector Arjun Mahakshay, law and order inspector reports to duty at a new police station after a 2 months suspension and faces an unexpected situation. Can Arjun save the day?",max inspector arjun mahakshay law order inspector report duty new police station month suspension face unexpected situation arjun save day
Yacht Rock: A Dockumentary,7.6, (2.5K),1h 35m,"Chronicles the rise of the smooth West Coast sound pioneered by artists like Steely Dan, Toto, and Michael McDonald, exploring its widespread influence.",yacht rock dockumentary chronicle rise smooth west coast sound pioneered artist like steely dan toto michael mcdonald exploring widespread influence
Streets of Gloria,5.7, (157),1h 43m,"In Rio's hidden corners, a young teacher's love affair with an escort triggers a dangerous obsession.",street gloria rio hidden corner young teacher love affair escort trigger dangerous obsession
Runaway Revenge,5.5, (77),1h 30m,"Sofía, a former Olympic runner, agrees to work as a drug mule for a cartel to pay for her leg surgery. After being ambushed by corrupt police officers, she discovers that what she's carrying is something out of this world.",runaway revenge sofa former olympic runner agrees work drug mule cartel pay leg surgery ambushed corrupt police officer discovers carrying something world
Mortal Game,2.9, (156),1h 25m,"A group of hunters travel to a mysterious island to track down a legendary forest creature. They soon realize their guide has set them up as bait, forcing them to confront a highly intelligent predator that terrorizes them one by one.",mortal game group hunter travel mysterious island track legendary forest creature soon realize guide set bait forcing confront highly intelligent predator terrorizes one one
Blame the Game,5.4, (6.1K),1h 32m,"A young man meets his new girlfriend's friends for the first time at their regular game night, putting him under pressure to make a good impression. But then suddenly, her ex shows up as well.",blame game young man meet new girlfriend friend first time regular game night putting pressure make good impression suddenly ex show well
The Red Virgin,6.8, (3.9K),1h 54m,"Hildegart Rodríguez, a precocious and prolific writer in Spain's 1930s, raised by her mother to become a model of future women.",red virgin hildegart rodrguez precocious prolific writer spain raised mother become model future woman
Barda,4.6, (972),1h 39m,"Barda is about the terrible events that happen to a group of friends who come together for a celebration in a bar. Also labeled as ""Türkiye's First +18 Realistic Film"".",barda barda terrible event happen group friend come together celebration bar also labeled trkiyes first realistic film
World Without End,4.1, (144),1h 30m,"A relentless captor preys on young women, forcing them into a deadly game of psychological warfare using costumes. When 17-year-old Skylar becomes the first to outsmart him, a battle of wits ensues in a fight for their very survival.",world without end relentless captor prey young woman forcing deadly game psychological warfare using costume skylar becomes first outsmart battle wit ensues fight survival
Super-Charlie,5.6, (421),1h 22m,"Willie's dream of fighting crime with his cop dad is shattered when his baby brother Charlie arrives. Besides stealing all the attention, Charlie turns out to have actual superpowers.",supercharlie willies dream fighting crime cop dad shattered baby brother charlie arrives besides stealing attention charlie turn actual superpower
Utopia,3.8, (625),1h 31m,"Soldier investigates wife's disappearance, infiltrates facility believing she's trafficked. Discovers facility is futuristic fantasy park blurring reality and illusion, complicating his search for truth about her fate.",utopia soldier investigates wife disappearance infiltrates facility believing trafficked discovers facility futuristic fantasy park blurring reality illusion complicating search truth fate
Blurred Lines,7.6, (22),1h 26m,"When six friends get together for New Year's eve and a drink gets spiked, secrets and conflicts reveal themselves begging the question, who's really responsible? Who's consented?",blurred line six friend get together new year eve drink get spiked secret conflict reveal begging question really responsible consented
Mai,6.9, (1.8K),2h 11m,"Restlessly haunted by the past, Mai is greeted by a new dawn when she reluctantly befriends the neighborhood ladies' man. But when her yesterday catches up to her today, what will become of her tomorrow?",mai restlessly haunted past mai greeted new dawn reluctantly befriends neighborhood lady man yesterday catch today become tomorrow
Triangle,4.7, (173),1h 36m,"A happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife.",triangle happily married couple visited old friend end stirring pot becoming sexually involved husband wife
Crayon Shin-chan: Our Dinosaur Diary,6.6, (872),1h 46m,"After a theme park that revives extinct dinosaurs is opened in Tokyo, Shinnosuke's pet dog, Shiro, crosses paths with a small dinosaur. The two befriend each other, but their friendship might affect the existence of the park.",crayon shinchan dinosaur diary theme park revives extinct dinosaur opened tokyo shinnosukes pet dog shiro cross path small dinosaur two befriend friendship might affect existence park
Shinda Shinda No Papa,5.9, (693),2h 15m,"A frustrated father in Canada, plans to take his mischievous son to India to discipline him.",shinda shinda papa frustrated father canada plan take mischievous son india discipline
Hitpig!,5.2, (1.5K),1h 26m,A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.,hitpig bounty hunter pig find trekking globe freespirited elephant intended capture
Modi: Three Days on the Wing of Madness,5.5, (1K),1h 48m,"Through the streets of World War I Paris, Italian bohemian artist Modigliani attempts to outmaneuver bombs, policemen, girlfriends, and critics in a increasingly desperate search of a home for his art.",modi three day wing madness street world war paris italian bohemian artist modigliani attempt outmaneuver bomb policeman girlfriend critic increasingly desperate search home art
Hear Me: Our Summer,7.5, (1.7K),1h 49m,A hearing-impaired woman and a motorbike delivery man find connection despite communication barriers. They use metaphors of persevering water birds and trees to represent overcoming obstacles in romance and leading to further commitment.,hear summer hearingimpaired woman motorbike delivery man find connection despite communication barrier use metaphor persevering water bird tree represent overcoming obstacle romance leading commitment
Quiet Life,6.4, (480),1h 39m,"Refugee family in Sweden faces trauma after youngest daughter falls into unexplained coma when asylum denied. Parents struggle to find cure, resilience tested amid difficult circumstances.",quiet life refugee family sweden face trauma youngest daughter fall unexplained coma asylum denied parent struggle find cure resilience tested amid difficult circumstance
Johnny Puff: Secret Mission,4.6, (540),1h 27m,Follows Johnny Puff and his friends as they embark on a secret mission to save Taigasville from the evil plans of Otto von Walrus.,johnny puff secret mission follows johnny puff friend embark secret mission save taigasville evil plan otto von walrus
Trucker,4.9, (95),1h 25m,"A trucker's family is killed in a fiery crash caused by a group of reckless teens. Rescued from the wreckage and nursed back to health by a mysterious old man, the trucker exacts brutal revenge on the teens who destroyed his life.",trucker trucker family killed fiery crash caused group reckless teen rescued wreckage nursed back health mysterious old man trucker exacts brutal revenge teen destroyed life
Little Wing,6.1, (1K),1h 40m,A 13-year-old girl is dragged into the world of pigeon racing as she deals with her parents' divorce and the impending loss of her home.,little wing girl dragged world pigeon racing deal parent divorce impending loss home
Let's Both Try,5.1, (57),1h 16m,"Embarking on a wild romp through the Arizona deserts, a photographer-couple's relationship is pushed to its limits as they navigate a morally charged exploration of sexuality and divine meaning in the chaos of modern life.",let u try embarking wild romp arizona desert photographercouples relationship pushed limit navigate morally charged exploration sexuality divine meaning chaos modern life
Boat,5.3, (1.1K),2h 6m,"10 people escape bombing on small boat, which unexpectedly stops and sinks mid-journey. Passengers struggle to survive as boat goes down.",boat people escape bombing small boat unexpectedly stop sink midjourney passenger struggle survive boat go
Lola James,3.8, (1.4K),1h 24m,"Lola James works to save enough money to get her little brother Arlo out of their toxic home. Arlo keeps her hopeful--until one tragic night when her whole world gets uprooted. From that moment on, nothing will ever be the same.",lola james lola james work save enough money get little brother arlo toxic home arlo keep hopefuluntil one tragic night whole world get uprooted moment nothing ever
Takas,4.4, (137),48m,"Best friends, Angel and Lexi, run away after committing a crime. Their seemingly quiet life becomes messy when a new man enters the picture.",taka best friend angel lexi run away committing crime seemingly quiet life becomes messy new man enters picture
Wanted Man,4.9, (3.1K),1h 25m,"Follows a police officer who must retrieve an eyewitness and escort her after a cartel shooting leaves several DEA agents dead, but then he must decide who to trust when they discover that the attack was executed by American forces.",wanted man follows police officer must retrieve eyewitness escort cartel shooting leaf several dea agent dead must decide trust discover attack executed american force
Standing on the Shoulders of Kitties,6.2, (879),1h 51m,"Bubbles' band ""The Shitrockers"" lands a European tour but gets kicked off, forcing them to busk. Randy is their roadie. Can Ricky and Julian save them from the streets of Prague?",standing shoulder kitty bubble band shitrockers land european tour get kicked forcing busk randy roadie ricky julian save street prague
Protein,5.1, (531),1h 40m,"A gym-obsessed serial killer murders and eats a local drug dealer for their protein, inadvertently sparking a brutal and bloodthirsty turf war between rival gangs.",protein gymobsessed serial killer murder eats local drug dealer protein inadvertently sparking brutal bloodthirsty turf war rival gang
Running on Empty,4.9, (905),1h 31m,"Follows Mort who discovers he has less than a year to live, and after his fiancé leaves him, he meets Kate in a dating service that matches people by their death dates, all while being stalked by a disturbed pimp.",running empty follows mort discovers less year live fianc leaf meet kate dating service match people death date stalked disturbed pimp
The Vampire Next Door,4.7, (1K),1h 50m,"Introverted Cameron, is desperately in love with his high school crush Diane. But his romantic pursuit is halted when Victoria, a female vampire moves in next door. Cameron soon discovers he's in the middle of a life-and-death adventure.",vampire next door introverted cameron desperately love high school crush diane romantic pursuit halted victoria female vampire move next door cameron soon discovers middle lifeanddeath adventure
House of Spoils,5.1, (4.5K),1h 41m,"It tells the story of a chef who opens her first restaurant where she battles kitchen chaos, a dubious investor and self doubt, but the pressure heats up thanks to the spirit of the estate's previous owner who threatens to sabotage her.",house spoil tell story chef open first restaurant battle kitchen chaos dubious investor self doubt pressure heat thanks spirit estate previous owner threatens sabotage
Clear Cut,3.6, (750),1h 28m,A team of loggers discover a meth cook site in the middle of the forest and are forced to fight for their lives while being hunted by a drug cartel.,clear cut team logger discover meth cook site middle forest forced fight life hunted drug cartel
Bad Newz,4.7, (28K),2h 22m,"A crazy laugh riot which will show the outcomes of two sophisticated Punjabi men and a Punjabi girl. One of the men has a one night stand with the girl and somehow, craziness happens when she is pregnant unexpectedly.",bad newz crazy laugh riot show outcome two sophisticated punjabi men punjabi girl one men one night stand girl somehow craziness happens pregnant unexpectedly
Harry Potter and the Stone,7.6, (273),2h 32m,"Harry Potter, an eleven-year-old orphan, discovers that he is a wizard and is invited to study at Hogwarts. Even as he escapes a dreary life and enters a world of magic, he finds trouble awaiting him.",harry potter stone harry potter elevenyearold orphan discovers wizard invited study hogwarts even escape dreary life enters world magic find trouble awaiting
All That We Love,6.3, (315),1h 30m,"Upon the loss of her beloved dog, Emma faces an empty nest and renewed feelings for her estranged ex-husband, as she navigates the joy and sorrow of starting anew.",love upon loss beloved dog emma face empty nest renewed feeling estranged exhusband navigates joy sorrow starting anew
Hide N Seek,8.3, (2.4K),2h 14m,"Vaishnavi, a determined investigator, discovers a disturbing link between multiple murders, taking her on a dangerous quest to unveil a dark conspiracy in this gripping Indian crime drama.",hide n seek vaishnavi determined investigator discovers disturbing link multiple murder taking dangerous quest unveil dark conspiracy gripping indian crime drama
White Snake: Afloat,6.9, (834),2h 13m,"Xiaobai finally found Xu Xian, the reincarnation of Axuan, after 500 years, the two met on the Broken Bridge. Xiaobai and sister hid in the streets and alleys, started a lively life in human world with him and his brother-in-law Li Gongfu.",white snake afloat xiaobai finally found xu xian reincarnation axuan year two met broken bridge xiaobai sister hid street alley started lively life human world brotherinlaw li gongfu
The Roast of Tom Brady,7.2, (6.5K),2h 59m,"Tom Brady faces the heat in this livestreamed, star-studded roast hosted by Kevin Hart.",roast tom brady tom brady face heat livestreamed starstudded roast hosted kevin hart
Murder Mubarak,5.8, (52K),2h 20m,"During a murder investigation, a non-traditional police officer turns a spotlight on an array of suspects. He steps into their world as an outsider, only to find there is so much more than what meets the eye.",murder mubarak murder investigation nontraditional police officer turn spotlight array suspect step world outsider find much meet eye
Continental Split,3.5, (740),1h 28m,"When a fault threatens to split the U.S., a desperate team of seismologists and government agents race to prevent disaster as the clock ticks down.",continental split fault threatens split yous desperate team seismologist government agent race prevent disaster clock tick
Blade of Fury,6.2, (240),1h 30m,"Knife catcher Pei Xing originally exchanged his life for money as bounty hunter, but after witnessing the killing of people who stood up for justice, he gradually awakened and decided to fight back.",blade fury knife catcher pei xing originally exchanged life money bounty hunter witnessing killing people stood justice gradually awakened decided fight back
Guns & Moses,5.4, (1K),1h 34m,A beloved small town rabbi in the high desert becomes an unlikely gunslinger after his community is violently attacked.,gun moses beloved small town rabbi high desert becomes unlikely gunslinger community violently attacked
Hijack 1971,6.8, (4.2K),1h 40m,People fight to survive when a passenger plane is hijacked over Korean airspace in 1971.,hijack people fight survive passenger plane hijacked korean airspace
"Canadian, Sniper",3.7, (736),1h 23m,"While attempting to peacefully reintegrate into civilian life, an army sniper struggles to discern reality from the haunting uncertainty of P.T.S.D.",canadian sniper attempting peacefully reintegrate civilian life army sniper struggle discern reality haunting uncertainty ptsd
Plan B,5.9, (1.7K),1h 30m,"When a one night stand with her awkward neighbor leaves her pregnant, a young woman decides to quickly sleep with a successful businessman and tell him he's the father of her unborn baby.",plan b one night stand awkward neighbor leaf pregnant young woman decides quickly sleep successful businessman tell father unborn baby
Coffintooth,5.1, (105),1h 16m,A madman known as Coffintooth stalks victims on Halloween Eve.,coffintooth madman known coffintooth stalk victim halloween eve
Slightly New,6.0, (82),1h 32m,"Stuck in a dead-end sales job at a shady dealership, Brandon and Leo were always destined for mediocrity.",slightly new stuck deadend sale job shady dealership brandon leo always destined mediocrity
Spread,5.7, (773),1h 33m,"To make ends meet, an aspiring journalist is forced to take a job at the world's largest porn magazine-beginning her journey to change her life, and the porn industry, forever.",spread make end meet aspiring journalist forced take job world largest porn magazinebeginning journey change life porn industry forever
Reawakening,6.2, (663),1h 30m,A couple whose daughter aged 14 went missing and then reappears after a decade.,reawakening couple whose daughter aged went missing reappears decade
Mom,4.6, (632),1h 35m,"Struggling with postnatal depression and feeling misunderstood by her husband, Meredith begins to experience terrifying visions foreshadowing an ultimate tragedy.",mom struggling postnatal depression feeling misunderstood husband meredith begin experience terrifying vision foreshadowing ultimate tragedy
Within the Pines,4.4, (414),1h 13m,"As sound recordist Sam Evans treks through an isolated forest, his mic picks up a sound no one wants to hear while alone in the woods.",within pine sound recordist sam evans trek isolated forest mic pick sound one want hear alone wood
Carved,4.4, (3.3K),1h 35m,"A group of survivors finds themselves trapped in a historical reenactment village on Halloween, where they must unite to battle a sentient, vengeful pumpkin.",carved group survivor find trapped historical reenactment village halloween must unite battle sentient vengeful pumpkin
Wild Diamond,6.2, (2.1K),1h 43m,"Liane, 19, lives with her mother and sister in Fréjus in the south of France. Consumed by aspirations of beauty and stardom, she auditions for a reality show called ""Miracle Island.""",wild diamond liane life mother sister frjus south france consumed aspiration beauty stardom audition reality show called miracle island
When Sex on TV Goes Horribly Wrong,3.0, (8),1h 55m,"Maria McErlane guides through embarrassing TV moments, including a couple's inappropriate dinner table behavior on Married at First Sight and an uncomfortable exchange between a grandma and hairdresser on Come Dine with Me.",sex tv go horribly wrong maria mcerlane guide embarrassing tv moment including couple inappropriate dinner table behavior married first sight uncomfortable exchange grandma hairdresser come dine
Matka,4.7, (916),2h 36m,"Rising through the ranks of the criminal world, a man becomes a key player in a massive nationwide gambling operation.",matka rising rank criminal world man becomes key player massive nationwide gambling operation
Love Kills,4.7, (361),1h 40m,Infidelity comes to an abrupt end when the cheating lovers are caught.,love kill infidelity come abrupt end cheating lover caught
The Mehta Boys,7.1, (3.5K),1h 56m,"A father and son embark on an involuntary 48-hour odyssey, navigating clashing perspectives as they confront the intricate nuances of their strained relationship.",mehta boy father son embark involuntary odyssey navigating clashing perspective confront intricate nuance strained relationship
The Twisters,2.6, (609),1h 26m,"Dozens of deadly tornadoes converge in the Midwest, merging into a mega twister set to obliterate everything for hundreds of miles.",twister dozen deadly tornado converge midwest merging mega twister set obliterate everything hundred mile
The Intruder,4.7, (730),1h 41m,"A young, paranoid man begins to believe someone is breaking into his house every night.",intruder young paranoid man begin believe someone breaking house every night
A Mistake,5.7, (1.7K),1h 41m,"In the midst of a new scheme to publicly report surgeons' performance, a gifted surgeon's life is thrown into disarray as her colleagues begin to close ranks, and even her partner who is a nurse at the hospital turns her back on her.",mistake midst new scheme publicly report surgeon performance gifted surgeon life thrown disarray colleague begin close rank even partner nurse hospital turn back
Blue Star,6.9, (1.7K),2h 46m,"The cricket captains of Arakkonam, Ranjith and Rajesh, ignite a rivalry that ruins their chances of playing when politics interferes.",blue star cricket captain arakkonam ranjith rajesh ignite rivalry ruin chance playing politics interferes
Dooba Dooba,6.1, (69),1h 16m,In-home security cameras watch as an awkward sixteen year old girl terrorizes her well meaning babysitter.,dooba dooba inhome security camera watch awkward sixteen year old girl terrorizes well meaning babysitter
Jönssonligan kommer tillbaka,5.9, (1.9K),1h 44m,"Years after their last heist, Sickan reunites with Vanheden, Harry and Doris to steal a T-Rex skeleton from a museum and sell it for millions. However, an aging detective is determined to catch Jönsson before retiring.",jnssonligan kommer tillbaka year last heist sickan reunites vanheden harry doris steal trex skeleton museum sell million however aging detective determined catch jnsson retiring
Tahong,5.0, (121),1h 30m,Mira is the daughter of a mussel farmer who needs to fight a reclamation project. She would do everything to save their livelihood even if it means sacrificing her innocence.,tahong mira daughter mussel farmer need fight reclamation project would everything save livelihood even mean sacrificing innocence
Perfect Endings,5.5, (389),1h 40m,"João and Hugo end their 10-year relationship but stay best friends. As they start dating again, uncontrollable emotions arise, contrasting the planned perfection of their breakup.",perfect ending joo hugo end relationship stay best friend start dating uncontrollable emotion arise contrasting planned perfection breakup
Time Travel Is Dangerous,4.8, (533),1h 39m,"Best friends Ruth and Megan run a vintage shop in Muswell Hill. Stumbling across a time machine, they embark on trips to the past to stock their shop with no idea of the irreparable damage they're causing to the fabric of the universe.",time travel dangerous best friend ruth megan run vintage shop muswell hill stumbling across time machine embark trip past stock shop idea irreparable damage causing fabric universe
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.3, (11K),1h 44m,"Tanjiro undergoes rigorous training with the Stone Hashira, Himejima, in his quest to become a Hashira. Meanwhile, Muzan continues to search for Nezuko and Ubuyashiki.",demon slayer kimetsu yaiba hashira training tanjiro undergoes rigorous training stone hashira himejima quest become hashira meanwhile muzan continues search nezuko ubuyashiki
Kalinga,6.4, (9.7K),1h 56m,"A protagonist encounters terrifying events, uncovering a sinister mystery lurking beneath the surface.",kalinga protagonist encounter terrifying event uncovering sinister mystery lurking beneath surface
Pacifica.,6.1, (57),1h 23m,"Daniel is on a road trip through the American West with his teenage daughter Artis. They live in a golden bubble: camping and enjoying the landscape. But whenever people approach them, Artis runs od, leaving Daniel anxiously searching for her. As they cross the Great Plains and head into the Rocky Mountains, Artis starts disappearing more and more, slowly turning Daniel's dream bubble into a nightmare. 'Pacifica.' is a film about loss, denial and America's complex relationship with guns.",pacifica daniel road trip american west teenage daughter artis live golden bubble camping enjoying landscape whenever people approach artis run od leaving daniel anxiously searching cross great plain head rocky mountain artis start disappearing slowly turning daniel dream bubble nightmare pacifica film loss denial america complex relationship gun
Vivo o Muerto,5.9, (115),1h 24m,"Amidst the uncertainty caused by the alleged suicide of former president Alan García, journalist Carmen Ríos initiates an intense search aiming to unravel the mystery surrounding the case.",vivo muerto amidst uncertainty caused alleged suicide former president alan garca journalist carmen ro initiate intense search aiming unravel mystery surrounding case
Bagheera,6.7, (8.7K),2h 38m,"When society turns into a jungle, just one predator cries out for justice.",bagheera society turn jungle one predator cry justice
Treasure Trackers,5.6, (225),1h 32m,"A trio of misfit middle schoolers band together to investigate their small town's mythic treasure, only to uncover a Halloween curse.",treasure tracker trio misfit middle schoolers band together investigate small town mythic treasure uncover halloween curse
Face Off 7: One Wish,7.2, (414),2h 18m,"When a 73-year-old widow is forced to depend on the care of her 5 busy adult children after an injury, she begins to question the meaning of family love.",face one wish widow forced depend care busy adult child injury begin question meaning family love
Crackcoon,3.6, (704),1h 28m,"A raccoon ingests a discarded synthetic drug and mutates into a vicious killer. It rampages through a mountain community, threatening campers, tourists, and residents. No one is safe from the monstrous raccoon's violent onslaught.",crackcoon raccoon ingests discarded synthetic drug mutates vicious killer rampage mountain community threatening camper tourist resident one safe monstrous raccoon violent onslaught
Maidaan,7.9, (24K),3h 1m,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football.",maidaan inspired indian national football team coach manager syed abdul rahim regarded architect indian football
Angels Fallen: Warriors of Peace,3.7, (6.7K),1h 43m,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world.",angel fallen warrior peace iraq war veteran receives calling higher power embarks mission stop fallen angel raising army dead take world
Boxer,6.5, (1.6K),2h 30m,Eryk Kulm Jr. leaves communist Poland to become a boxer but struggles as an immigrant. He agrees to participate in a rigged fight that alters his life's trajectory.,boxer eryk kulm jr leaf communist poland become boxer struggle immigrant agrees participate rigged fight alters life trajectory
S.T.A.L.K.E.R.: Shadow of the Zone,4.7, (770),1h 11m,A seasoned Free Stalker tasked with guiding a band of Mercenaries deep into The Zone to investigate a paranormal radio signal. Based on the S.T.A.L.K.E.R. video-game series by G.S.C. Game World.,stalker shadow zone seasoned free stalker tasked guiding band mercenary deep zone investigate paranormal radio signal based stalker videogame series gsc game world
The Deb,5.1, (192),2h 1m,An original comedy musical about two teenage girls attending a debutante ball in a small rural town.,deb original comedy musical two teenage girl attending debutante ball small rural town
Wallbanger,5.7, (958),1h 58m,"Caroline, a single interior designer, moves into what seems like the perfect apartment only to be awakened nightly by her neighbor, the 'wallbanger,' sparking an unexpected, tension-filled connection.",wallbanger caroline single interior designer move seems like perfect apartment awakened nightly neighbor wallbanger sparking unexpected tensionfilled connection
Sixty Minutes,5.7, (5.7K),1h 28m,"Desperate not to lose custody, a mixed martial arts fighter makes dangerous enemies when he ditches a matchup to race to his daughter's birthday party.",sixty minute desperate lose custody mixed martial art fighter make dangerous enemy ditch matchup race daughter birthday party
McVeigh,4.4, (909),1h 30m,Army veteran Timothy McVeigh hatches a deadly plan after the Waco siege. A psychological thriller depicting the deadliest act of domestic terrorism in U.S. history.,mcveigh army veteran timothy mcveigh hatch deadly plan waco siege psychological thriller depicting deadliest act domestic terrorism yous history
When the Light Breaks,6.6, (1.8K),1h 22m,"Una grapples with grief while harboring a secret, unable to fully express her emotions, as she navigates challenging events swirling around her.",light break una grapple grief harboring secret unable fully express emotion navigates challenging event swirling around
Can You Hear Me?,4.8, (113),1h 33m,A World War 1 Romantic Ghost Story,hear world war romantic ghost story
Lola Magdalena,6.0, (12),1h 58m,"A group of elderly prostitutes lives together, confronting their impoverished life day by day, hoping to survive long enough to conquer their personal battles and connect with their estranged families.",lola magdalena group elderly prostitute life together confronting impoverished life day day hoping survive long enough conquer personal battle connect estranged family
Scared to Death,4.3, (164),1h 38m,"Jasper, a young filmmaker, seizes a chance to direct when his crew attends a seance in a haunted children's shelter. Trapped inside, they're haunted by ghostly orphans and a sinister force.",scared death jasper young filmmaker seizes chance direct crew attends seance haunted childrens shelter trapped inside haunted ghostly orphan sinister force
Drinker Sai,8.7, (2.2K),2h 28m,"Heartbroken and spiraling into alcoholism, a jilted lover desperately pursues his former muse, unwilling to accept their relationship's end.",drinker sai heartbroken spiraling alcoholism jilted lover desperately pursues former muse unwilling accept relationship end
Los Frikis,6.6, (997),1h 51m,"Inspired by true events, Los Frikis is a coming-of-age story set in early 90s Cuba where a group of punk rockers in search of freedom deliberately inject HIV to live at a government-run treatment home so they can create their own utopia.",los frikis inspired true event los frikis comingofage story set early cuba group punk rocker search freedom deliberately inject hiv live governmentrun treatment home create utopia
The Tiger's Apprentice,5.8, (2.5K),1h 24m,"Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix.",tiger apprentice tom lee chineseamerican boy death grandmother apprenticed talking tiger mr hu learn ancient magic become new guardian ancient phoenix
Bogota: City of the Lost,5.4, (2.5K),1h 48m,"Young man moving to Colombia with his family for a better life, but he ends up living from hand to mouth. He later goes against all odds to dominate Bogota's black market.",bogota city lost young man moving colombia family better life end living hand mouth later go odds dominate bogota black market
Turbo,5.9, (4.6K),2h 35m,"Jose, a jeep driver from Idukki gets in trouble and is forced to relocate to Chennai where he gets entangled with Indhu and his best friend, Jerry. A bunch of surprises in the form of Vetrivel and others await Jose in Chennai.",turbo jose jeep driver idukki get trouble forced relocate chennai get entangled indhu best friend jerry bunch surprise form vetrivel others await jose chennai
Bhoothaddam Bhaskar Narayana,6.1, (389),2h 21m,"In a small town in southern India, a rash of unsolved murders over the past 18 years has left the region shrouded in mystery. Despite repeated efforts, local police have failed to find any explanation or suspect.",bhoothaddam bhaskar narayana small town southern india rash unsolved murder past year left region shrouded mystery despite repeated effort local police failed find explanation suspect
Nutcrackers,5.5, (11K),1h 44m,"In the most unlikely of places, four siblings find a loving shelter in an unexpected turn of circumstances. This endearing comedy-drama draws inspiration from actual events and deftly crafts a gripping story that unites everyone.",nutcracker unlikely place four sibling find loving shelter unexpected turn circumstance endearing comedydrama draw inspiration actual event deftly craft gripping story unites everyone
Bushido,6.8, (786),2h 9m,"Kakunoshin Yanagida was a samurai, forced to leave the Han due to a false accusation. He then lived in poverty with his daughter Kinu.",bushido kakunoshin yanagida samurai forced leave han due false accusation lived poverty daughter kinu
Invasion,4.7, (878),1h 31m,"When neighboring country Veragua suddenly attacks Curaçao and Aruba, the Dutch government is taken completely by surprise. The conflict escalates rapidly. Three young Dutch Corps recruits must figure out what is the right thing to do.",invasion neighboring country veragua suddenly attack curaao aruba dutch government taken completely surprise conflict escalates rapidly three young dutch corp recruit must figure right thing
Little Bites,4.7, (1.8K),1h 45m,"In a desperate attempt to protect her ten-year-old daughter, a young widow allows a nightmarish monster to slowly eat her alive.",little bite desperate attempt protect tenyearold daughter young widow allows nightmarish monster slowly eat alive
The Windigo,4.6, (779),1h 25m,"A Native American teen resurrects an ancient demon to protect his family from meth dealers, but finds the creature's bloodlust uncontrollable, forcing the family to break the curse before becoming its next victims.",windigo native american teen resurrects ancient demon protect family meth dealer find creature bloodlust uncontrollable forcing family break curse becoming next victim
Jab Khuli Kitaab,6.7, (8.2K),1h 55m,"Gopal and Anusuya's decades-long marriage faces upheaval when a revelation surfaces. As secrets emerge, the family navigates emotions both touching and comedic, exploring love, companionship, forgiveness, and rediscovering one another.",jab khuli kitaab gopal anusuyas decadeslong marriage face upheaval revelation surface secret emerge family navigates emotion touching comedic exploring love companionship forgiveness rediscovering one another
