Title,Rating,Votes,Duration,Storyline
39. Vermiglio,6.9, (7.1K),1h 59m,"1944, Vermiglio, a remote mountain village. The arrival of Pietro, a deserter, into the family of the local teacher, and his love for the teacher's eldest daughter, will change the course of everyone's life."
40. Relay,7.0, (38K),1h 52m,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.
41. Civil War,7.0, (270K),1h 49m,"In the midst of a U.S. civil war, four reporters make the dangerous trip to the capital to interview the president before he is overthrown."
42. Flow,7.8, (142K),1h 25m,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences."
43. Snack Shack,7.0, (18K),1h 52m,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance."
44. Babygirl,5.7, (82K),1h 54m,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
45. Caddo Lake,6.8, (56K),1h 43m,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history."
46. MaXXXine,6.2, (88K),1h 43m,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past."
47. Ordinary Angels,7.4, (21K),1h 58m,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.
48. Carry-On,6.5, (195K),1h 59m,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.
49. Horizon: An American Saga - Chapter 2,7.0, (1.8K),3h 10m,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.
50. Kraven the Hunter,5.5, (83K),2h 7m,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared."
51. The Strangers: Chapter 1,4.7, (30K),1h 31m,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive."
52. Megalopolis,4.7, (42K),2h 18m,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of a Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved."
53. Upgraded,6.1, (34K),1h 44m,"Ana, an ambitious intern at an art auction house in New York City, misrepresents herself to a handsome wealthy man as the director. As their romance develops, her deception creates challenges that threaten her career and relationship."
