Title,Rating,Votes,Duration,Storyline
1053. Sunray: Fallen Soldier,4.4, (924),1h 55m,"A war veteran calls on friends from his past to hunt down those responsible for the death of his daughter. Along the way, he learns more about himself than he anticipated as a violent crime syndicate unravels in his wake."
1054. Not Another Church Movie,2.3, (1.2K),1h 30m,"God commands Taylor Pherry to write a movie inspired by his crazy, dysfunctional family, but the Devil has his own devious plans."
1055. Jigra,6.0, (25K),2h 33m,"When Ankur is wrongfully imprisoned and sentenced to death in a foreign country, his steely sister Satya is driven by a lethal resolve to break him free."
1056. Abraham Ozler,6.6, (5.4K),2h 23m,"Revolves around the personal and professional lives of veteran cop Abraham Ozler, ACP Trichur, who at one time has to take up a serial killing case and the mysterious hunt begins."
1057. Siddharth Roy,6.2, (3K),2h 28m,"Siddharth Roy Embraces logic and reason but is overwhelmed by emotions, resulting in heartache and inner turmoil."
1058. Boong,7.9, (439),1h 34m,"A schoolboy, Boong, navigates racial tensions and border challenges in Manipur, driven by resilience and determination to reunite his divided family."
1059. Trouble,6.2, (8K),1h 38m,"Conny, a divorced salesman, gets wrongfully imprisoned for murder. There, he meets criminals who mistake him for a pilot like his ex-wife's new boyfriend. Chaos ensues as he navigates life behind bars while separated from his daughter."
1060. First Taste,4.0, (377),1h 37m,"Yuna, a woman engaged with her long time boyfriend, Nicco, starts to have second thoughts when she meets again her first love, Becca. Now she is torn between the man she loves and the woman she first loved."
1061. Tata,6.9, (211),1h 22m,"A journalist estranged from her violent father discovers that he's become a victim of work exploitation. When she agrees to help him expose the injustice, it reopens the wounds of their past."
1062. Top 1,4.9, (322),1h 38m,"Azi and Dex are both vying to be their batch valedictorian but Dex is always behind Azi. He then plans to make her fall in love to be a distraction, but his plan is a double-edged sword."
1063. The Marching Band,7.4, (6.8K),1h 43m,"Acclaimed conductor Thibaut has leukemia and needs a bone marrow donor. Learning he was adopted, he finds an older brother, a musician and factory worker. Their reunion sparks a fraternal, musical journey amidst the town's factory closure."
1064. Saint Clare,4.6, (1.3K),1h 32m,"In a small town a solitary woman is haunted by voices that lead her to assassinate ill intended people and get away with it, until her last kill sucks her down a rabbit hole riddled with corruption, trafficking and visions from the beyond."
1065. The Partisan,5.1, (599),1h 48m,A Polish spy who works for the British during the Second World War is compromised in Warsaw after a betrayal and finds herself in a murky world of treachery.
1066. Waltzing with Brando,5.9, (1.2K),1h 44m,"Marlon Brando pulls idealistic Los Angeles architect Bernard Judge from his ordinary life and persuades him to design the world's first ecologically perfect retreat on a tiny, inhospitable Tahitian island."
1067. Dangerous Seduction,7.1, (24),1h 28m,"Follows a reporter, whose life changes after a business trip in Florida. His old college love is also in town reporting on the current biggest sports story."
1068. Terminator: Skynet Rising,4.0, (539),1h 28m,"Since Legion was destroyed, the machines have been working to restore Skynet. Now the resistance has discovered their plans and must find a way to prevent them."
1069. The Merry Gentlemen,4.9, (11K),1h 27m,"To save her parents' small-town performing venue, a former big-city dancer decides to stage an all-male, Christmas-themed revue."
1070. Hot Frosty,5.3, (16K),1h 32m,"Widow Kathy magically brings a snowman to life. His innocence helps her heal and find love again. They bond before the holidays, but he's doomed to melt."
1071. Vaazhai,7.7, (5.6K),2h 14m,"A twelve-year-old boy, Sivanandhan, his mother, sister, and friend navigate life's challenges, where a plantain tree, Vaazhai, becomes a central presence."
1072. Detained,4.9, (2.4K),1h 37m,"A woman wakes up in a police interrogation room with no memory of the night prior. However, something does not seem quite right in this police station."
1073. Another Cabin in the Woods Movie,4.7, (426),1h 17m,"In this tongue-in-cheek spoof, horror-savvy characters are trapped in yet another cabin in the woods, where they are forced to navigate murder and red herrings to uncover who will stop at nothing for their twisted happily ever after."
1074. Dancing Village: The Curse Begins,5.6, (4.4K),2h 2m,"After a cursed heirloom is returned to a haunted village, two girls face rituals and spirit realms. One sacrifices herself to stay with her dying mother, while the other escapes, only to learn their return came too late."
1075. Restless,6.3, (1.5K),1h 29m,"A middle-aged empty nester's mundane life is upended when raucous new neighbors move in next door, unleashing potential danger and disruption."
1076. The Best Christmas Pageant Ever,6.8, (8.5K),1h 39m,Nobody is ready for the mayhem and surprises that ensue when six of the worst youngsters disrupt the town's yearly Christmas performance.
1077. Here Now,5.0, (841),1h 58m,Sophie a young Californian traveling in Italy on her vacation with her sister. She meets Giulio and his group of friends with whom she spends the most terrifying night of her life.
1078. Let Go,7.0, (7.5K),1h 50m,"Stella juggles demands of young son, moody teen daughter, and distant husband. Chaos ensues until a message prompts a family trip where she must overcome challenges to reunite them."
1079. The Fabulous Four,4.8, (2.1K),1h 38m,It tells the story of two friends who travel to be bridesmaids in a surprise wedding of their college girlfriend.
1080. Painter and Lampshade,4.8, (156),1h 46m,"An artist meets a mysterious woman who becomes his model for his nude artwork. He then fantasizes making love to her; however, he always remembers her number one rule - she can't be touched."
1081. This Life of Mine,5.4, (372),1h 39m,"Barbie, once an attractive, devoted mother and partner, faces newfound challenges as she turns 55, descending into darkness, violence, and absurdity while grappling with her identity, relationships, and life's complexities."
1082. House on Haunted Hill,3.2, (79),1h 21m,"On October 31st, 1978, the WXIP-TV Channel 6 Team investigated the infamous ""Hill House"" on Live Television, with dire results. The broadcast was banned and never seen again, until now."
1083. Special Needs Revolt!,4.7, (197),1h 53m,"In a future dystopia, a man with Down syndrome joins a rebellion against America's cruel dictator who has put all people with disabilities back into institutions."
1084. Bhakshak,7.2, (7.6K),2h 14m,Revolves around the journey of an unwavering woman's quest to seek justice and her perseverance in getting a heinous crime to light.
1085. First Shift,4.5, (2.5K),1h 29m,"Follows a NYC policer officer along with his rookie partner Angela, as they have a rough day while living the dangerous, and routine job of being a cop in the city."
1086. Mura,7.2, (7.2K),2h 9m,"Four friends from a humble background plan a heist, but past secrets and hidden motives emerge, testing their loyalties. As ambition collides with friendship, they face tough choices in their quest for revenge."
1087. Manamey,5.3, (883),2h 35m,"A charismatic playboy's life is upended when a young boy enters his world, initially causing chaos but gradually becoming an integral part, exploring themes of love, family, and growth."
1088. Bureau 749,3.9, (810),2h 3m,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.
1089. Wynonna Earp: Vengeance,5.5, (2K),1h 36m,Wynonna Earp is coming home to battle her greatest foe yet: a psychotic seductress hellbent on revenge against her...and everyone she loves.
1090. Devil,4.4, (1.6K),1h 58m,"Hema married to Alex meets Arun in accident, bond grows. Will Proximity causes strain on Hema's relationship with Alex."
1091. Peacock,7.0, (2.5K),1h 42m,"Matthias masters impersonating roles for hire: cultured boyfriend, perfect son, sparring partner. Professionally adept at pretending daily, his true challenge lies in being himself."
1092. Deep Six,3.5, (436),1h 38m,An ex-con gets released early from prison only to be forced into an undercover unit of six men and on his first day the other five are all killed. Now he must face the men who he was tasked to spy on.
1093. 24 Hours to D-Day,2.7, (252),1h 23m,A squad of American paratroopers are dropped behind enemy lines in Nazi occupied France to prepare a signal beacon to guide Allied forces in preparation for D-Day.
1094. Amar Singh Chamkila,7.8, (17K),2h 25m,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's."
1095. Tabaah,5.3, (655),1h 48m,Revolves around the love and turmoil between our two protagonists. The journey of these characters is marked by such unfortunate twists and events that make it a tragic love story.
1096. Vina: Before 7 Days,5.4, (784),1h 40m,"Vina, a victim of a motorbike gang's atrocities in Cirebon, refuses to accept her death being labeled an accident. Her spirit intervenes within the seven days preceding the incident to reveal the truth behind what really happened."
1097. The Soul Eater,5.8, (3.9K),1h 48m,"When violent and gruesome deaths starts plaguing a small mountain village, an old legend about a malevolent creature resurfaces."
1098. Unpredictable,5.4, (497),1h 41m,"A modern thriller filled with intense sexual tension. Betrayal, jealousy, revenge and lies. A plot full of tension and twists of events."
1099. Kingsmen,5.3, (117),1h 12m,"Richard King raised his 4 sons to be just like him and to take over the family business, but his sudden death has left the family searching to find out who and what could be the reason their family was torn apart."
1100. Held Hostage in My House,4.3, (374),1h 30m,A single mother becomes trapped inside her own vacation rental and must piece together clues from the various guests who have stayed there in order to figure out who assaulted her and hopefully survive.
1101. Take My Hand,6.3, (621),1h 42m,"At the peak of her career in London, an Australian woman is diagnosed with MS. After losing her job and the death of her husband, she moves home with her three sons, where a chance encounter with a childhood sweetheart changes her life."
1102. Crescent City,3.9, (1.7K),1h 43m,"A small town in the south is ravaged by a serial killer, with everyone being a suspect including the police."
1103. An Autumn Summer,7.4, (20),1h 38m,"In a magical lake town, one couple and four best friends spend the final month before college chasing an endless summer."
1104. Bad Boy in Love,7.4, (46),1h 31m,"In the midst of the hustle and bustle of Bogor, Sara, a shy and simple Solo girl, starts a new chapter in her life by changing schools in this cool city."
1105. A Legend,4.7, (1.4K),2h 9m,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.
1106. Tina,7.9, (1.5K),2h 4m,"A woman, grieving her daughter's death in the Christchurch quakes, becomes a substitute teacher at an elite school. Unexpectedly, she discovers students lacking guidance and care, prompting her to provide inspiration and support."
1107. Toxic,6.7, (2.1K),1h 39m,"Dreaming of an escape from the bleakness of their hometown, two teens form a unique bond at a local modeling school, where the promise of a better life pushes girls to violate their bodies in increasingly extreme ways."
1108. The Problem with People,5.7, (784),1h 42m,Two estranged cousins who never knew each other try to make amends for many generations of family dispute.
1109. My Late Summer,6.0, (363),1h 38m,"When Maja arrives on a remote island to resolve the issue of family inheritance, she doesn't expect to stay there longer than she planned."
1110. Monster Island,5.2, (2.4K),1h 23m,"Set in the Pacific, 1942. A Japanese soldier and a British prisoner of war are stranded on a deserted island, hunted by a deadly creature. Two mortal enemies must come together to survive the unknown."
1111. Chantal in Fairyland,4.6, (3.2K),1h 58m,"Chantal will be involuntarily transported to a fairy tale world, fighting against witches and tyrant kings, but above all for her friendship with Zeynep."
1112. Swimming Home,4.7, (630),1h 39m,"An adaptation of cult author Deborah Levy's unique and provocative novel about love, loss and longing. A woman invites a naked stranger found floating in the pool of her family holiday villa to help her set those she loves free."
1113. Sheepdog,6.3, (267),2h 2m,"A decorated combat veteran is court-ordered into treatment when an ex-convict shows up on his doorstep, forcing him to confront his past and begin an unexpected journey toward post-traumatic growth."
1114. Love Me Dead,4.0, (194),1h 25m,"Reclusive mortician Issac forms bond with waitress Cassi. After harrowing incident, they embark on a path of revenge, blurring lines between reality and fiction in this psychological thriller's tense narrative."
1115. Footage,4.3, (2.6K),2h 4m,A found footage thriller surrounding the story of a curious couple.
1116. Salitan,5.2, (540),1h 45m,A wife suspects her husband of infidelity during a trip to Bali. She meets an attractive stranger who stirs unfaithful feelings within her. She contemplates encouraging her husband's unfaithfulness to reduce her guilt.
1117. Khel Khel Mein,6.5, (28K),2h 15m,Revolves around a group of friends who gather for a dinner and end up revealing secrets about each other.
1118. A.R.M,7.1, (10K),2h 30m,"Set in the Northern Kerala in 1900, 1950 and 1990, three generations of heroes, Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the land."
1119. The Train of Death,4.7, (979),1h 43m,"Bloody terror wiped out the Sangkara Train carriages one by one, putting passengers at risk of life and death."
1120. Bau: Artist at War,5.4, (423),2h 10m,"The inspiring love story of Joseph Bau, artist, forger, holocaust survivor. Using his artistic skills, humor and hope in the camps, Joseph stays alive and helps hundreds to escape. Miraculously, he finds love in the midst of despair."
1121. Adult Best Friends,5.2, (793),1h 30m,"Inseparable since childhood, levelheaded Katie takes her codependent best friend Delaney on a girls' trip to break the news that she is getting married. Things do not go as planned."
1122. Traumatika,5.2, (2.3K),1h 22m,Mikey's night terrors become reality when his mother begins showing signs of demonic possession. What he's about to experience will haunt him for the rest of his life and claim countless lives across generations.
1123. In Vitro,5.5, (862),1h 29m,"On a struggling cattle farm some years in the future, a woman discovers the unsettling consequences of her husband's animal breeding technology."
1124. Zebra,7.0, (3.7K),2h 44m,A group of white collar fraudsters become entangled with a vicious criminal as they plan an audacious heist.
1125. Something in the Water,4.1, (6K),1h 26m,A group of five friends must fight for their lives in open water after a dream wedding turns into a nightmare.
1126. Witchy Ways,5.6, (223),1h 38m,"Retreating to a cabin her late mother believed was magical, a skeptical Eve meets Danni, a witch whose secrets challenge Eve's logic. As romance sparks, supernatural secrets and a vengeful neighbor threaten everything Danni holds dear."
1127. Climax,6.4, (108),1h 13m,"A blockbuster Filipino film sets screens ablaze in 2024, featuring beloved couples and fresh faces. Rob Gint and Apple Day guide viewers through steamy moments that promise to raise temperatures and captivate audiences nationwide."
1128. The Art of Love,4.6, (2.7K),1h 39m,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed."
1129. Kaulayaw,3.9, (228),1h 35m,"Robb Guinto and Micaela Raz heat up the screen as college schoolmates who venture into the world of cybersex to support their needs. They fulfill their fans' sexual fantasy only to realized that they too, are falling for each other."
1130. The Little Mermaid,3.5, (439),1h 29m,"Dr. Eric Prince, an archaeologist, makes a dramatic discovery on a small Caribbean island-proof of an ancient, advanced prehistoric society. While his dig is in progress, he meets the mysterious and beautiful Aurora Bey and falls in love."
1131. Happyend,6.8, (2.1K),1h 53m,"In near-future Tokyo, the threat of a catastrophic quake looms. Two friends prank their principal before graduation, leading to school surveillance installation."
1132. Cocorico,5.9, (4.2K),1h 32m,"The daughter of the Bouvier-Sauvage family of aristocrats is in love with the son of a Peugeot dealer. When the children announce their marriage, the aristocratic family does not agree."
1133. Alienoid: The Return to the Future,6.5, (3.3K),2h 2m,"Pursuit of a divine sword drives Taoist time travelers, aliens, and bounty hunters across eras. Lee Ahn races to rescue trapped allies while an alien Controller unleashes Haava, leaving present day Earth in ruin."
1134. The Severed Sun,5.1, (978),1h 20m,"Magpie lives in an isolated church community ruled over by her father, The Pastor. When a man is murdered, paranoia sets in and people start to whisper about a strange 'Beast' that lives in the forest."
1135. Stripped: Nashville,5.3, (144),1h 22m,"This observational documentary follows the lives of Nashville's most dynamic exotic dancers over the course of several days - highlighting their skills as dancers, upbringing, personal relationships and business acumen."
1136. Invasive,5.6, (925),1h 37m,"A young woman secretly residing in a billionaire's lavish mansion stumbles upon dark secrets, sparking a desperate fight for survival."
1137. 10 Lives,6.0, (2.6K),1h 28m,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
1138. Rebellious,6.1, (330),1h 34m,"In this modern twist on a classic fairy tale, a headstrong princess is stolen by an evil sorcerer, and her scholarly fiancé must use his wits in an epic quest to find her while she boldly challenges her captors and plots a daring escape."
1139. Il mio posto è qui,6.7, (173),1h 47m,"The aftermath of WW2. In a rural village in the South of Italy, a single mother befriends the local homosexual wedding planner. Through him, she is introduced to the hidden community of gays and starts understanding her rights as a woman."
1140. Kanguva,4.5, (16K),2h 32m,A tribal warrior's fierce struggle to save his people a millennium ago is mysteriously linked to a bounty hunter's perilous quest in the present.
1141. The Price of Money: A Largo Winch Adventure,5.1, (1.7K),1h 40m,"It follows Largo Winch, who is devastated by the kidnapping of his son. He realizes that if he finds those responsible for his bankruptcy, maybe he'll see his son again."
1142. How to Date Billy Walsh,5.2, (4.4K),1h 38m,"Follows a pair of childhood friends: Amelia and Archie. Archie has always kept his love for her a secret, but just as he builds up the courage to declare his feelings, Amelia falls for Billy Walsh, the new transfer student."
1143. Race for Glory: Audi vs. Lancia,5.8, (6.1K),1h 49m,"A true David vs. Goliath story spotlighting the intense rivalry between Audi and Lancia at the 1983 Rally World Championship. Against all odds, Lancia battles to regain its former glory with a combination of innovation and courage."
1144. Tim Travers and the Time Traveler's Paradox,5.4, (956),1h 35m,What happens if you travel back in time and eliminate your younger self? Terminally bored mad genius Tim Travers seeks to find the answer and unravel the time traveler's paradox. The Result? A crazy comedic adventure beyond comprehension.
1145. The Strange Dark,5.4, (521),1h 24m,"With her family's safety on the line, Susan must choose who to trust: her husband, who claims he can see the future, or the mysterious strangers at her door."
1146. The Contract,6.5, (120),1h 45m,"Following up on a murder investigation, failed journalist Giuseppe falls into the trap of the devil."
1147. Operation Valentine,5.3, (2.1K),2h 13m,"Showcasing the indomitable spirits of the Indian Air Force heroes on the frontlines and the challenges they face during one of the biggest, fiercest aerial attacks that India has ever seen."
1148. Thirst,4.3, (182),1h 52m,A wife learns that her husband who's in coma had an affair. She confronts the other woman but instead finds solace in her. She then realizes she's falling for her husband's mistress.
1149. Forbidden Desire,5.0, (88),1h 11m,"Agatha and Ubel's turbulent romance leads to a devastating breakup. Though she finds a new partner, Agatha can't get enough of Ubel. They continue their illicit affair until she finds out that Ubel has a secret that can ruin her life."
1150. Sucha Soorma,6.4, (974),2h 16m,"A 100+ year-old story of the legendary rebel, the famous Punjab da Kissa, Sucha Soorma!"
1151. www.RachelOrmont.com,5.4, (161),1h 20m,Psychedelic technosatire feature about growing up in captivity.
1152. French Girl,5.5, (3.6K),1h 46m,"Gordon Kinski, a high school teacher from Brooklyn, goes with his girlfriend and chef Sophie Tremblay to her hometown of Quebec City where she is testing for the Michelin 3-star restaurant of super-chef Ruby Collins."
1153. Parallel,5.4, (2.4K),1h 28m,"Follows the journey of Vanessa, a grief-stricken woman who mysteriously finds herself navigating between parallel spaces."
1154. Teacher's Pet,5.1, (47),1h 14m,"A student uses manipulation to start an affair with his teacher. As she attempts to break it off, mysterious deaths occur in her circle. Her survival hangs in the balance."
1155. Silver Star,6.1, (1.3K),1h 42m,"Billie, a young African American woman recently released from prison, kidnaps a pregnant teenager during a failed bank robbery. With nothing left to lose, they set off on a journey together."
1156. Havnaa,6.7, (609),1h 50m,"Follows real-life happenings of Magne Havnaa, Norway's first cruiserweight boxing champion in 1990 by defeating American Richard Pultz. His brother Erling was a top-ranked kickboxer who later participated in Norway's largest robbery."
1157. The Deserter,6.1, (123),1h 33m,"1945: The last days of the war. In a remote mountain hut, Anton, a deserted SS man, and Hannah, a Jewish woman, meet. From distrust, feelings develop between the two. But the danger is ever present. For the two, the war is far from over."
1158. The Last Kumite,4.7, (2.7K),1h 45m,"One last kumite, one final battle - for the life of his daughter."
1159. To Live Through Death,6.2, (122),1h 31m,"After a tragic loss of his family, Chen, an ex criminal changes his face with cosmetic surgery and becomes a cook in a restaurant. Fifteen years later a woman asks him for help against human traffic gangs."
1160. Stag,5.3, (778),1h 27m,"Gold reappears after vanishing for months. His car breaks down in a remote area. He meets peculiar people in a house. Waking up in his car, he questions if it was a dream or reality."
1161. Max,7.1, (4K),2h 12m,"Inspector Arjun Mahakshay, law and order inspector reports to duty at a new police station after a 2 months suspension and faces an unexpected situation. Can Arjun save the day?"
1162. Yacht Rock: A Dockumentary,7.6, (2.5K),1h 35m,"Chronicles the rise of the smooth West Coast sound pioneered by artists like Steely Dan, Toto, and Michael McDonald, exploring its widespread influence."
1163. Streets of Gloria,5.7, (157),1h 43m,"In Rio's hidden corners, a young teacher's love affair with an escort triggers a dangerous obsession."
1164. Runaway Revenge,5.5, (77),1h 30m,"Sofía, a former Olympic runner, agrees to work as a drug mule for a cartel to pay for her leg surgery. After being ambushed by corrupt police officers, she discovers that what she's carrying is something out of this world."
1165. Mortal Game,2.9, (156),1h 25m,"A group of hunters travel to a mysterious island to track down a legendary forest creature. They soon realize their guide has set them up as bait, forcing them to confront a highly intelligent predator that terrorizes them one by one."
1166. Blame the Game,5.4, (6.1K),1h 32m,"A young man meets his new girlfriend's friends for the first time at their regular game night, putting him under pressure to make a good impression. But then suddenly, her ex shows up as well."
1167. The Red Virgin,6.8, (3.9K),1h 54m,"Hildegart Rodríguez, a precocious and prolific writer in Spain's 1930s, raised by her mother to become a model of future women."
1168. Barda,4.6, (972),1h 39m,"Barda is about the terrible events that happen to a group of friends who come together for a celebration in a bar. Also labeled as ""Türkiye's First +18 Realistic Film""."
1169. World Without End,4.1, (144),1h 30m,"A relentless captor preys on young women, forcing them into a deadly game of psychological warfare using costumes. When 17-year-old Skylar becomes the first to outsmart him, a battle of wits ensues in a fight for their very survival."
1170. Super-Charlie,5.6, (421),1h 22m,"Willie's dream of fighting crime with his cop dad is shattered when his baby brother Charlie arrives. Besides stealing all the attention, Charlie turns out to have actual superpowers."
1171. Utopia,3.8, (625),1h 31m,"Soldier investigates wife's disappearance, infiltrates facility believing she's trafficked. Discovers facility is futuristic fantasy park blurring reality and illusion, complicating his search for truth about her fate."
1172. Blurred Lines,7.6, (22),1h 26m,"When six friends get together for New Year's eve and a drink gets spiked, secrets and conflicts reveal themselves begging the question, who's really responsible? Who's consented?"
1173. Mai,6.9, (1.8K),2h 11m,"Restlessly haunted by the past, Mai is greeted by a new dawn when she reluctantly befriends the neighborhood ladies' man. But when her yesterday catches up to her today, what will become of her tomorrow?"
1174. Triangle,4.7, (173),1h 36m,"A happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife."
1175. Crayon Shin-chan: Our Dinosaur Diary,6.6, (872),1h 46m,"After a theme park that revives extinct dinosaurs is opened in Tokyo, Shinnosuke's pet dog, Shiro, crosses paths with a small dinosaur. The two befriend each other, but their friendship might affect the existence of the park."
1176. Shinda Shinda No Papa,5.9, (693),2h 15m,"A frustrated father in Canada, plans to take his mischievous son to India to discipline him."
1177. Hitpig!,5.2, (1.5K),1h 26m,A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.
1178. Modi: Three Days on the Wing of Madness,5.5, (1K),1h 48m,"Through the streets of World War I Paris, Italian bohemian artist Modigliani attempts to outmaneuver bombs, policemen, girlfriends, and critics in a increasingly desperate search of a home for his art."
1179. Hear Me: Our Summer,7.5, (1.7K),1h 49m,A hearing-impaired woman and a motorbike delivery man find connection despite communication barriers. They use metaphors of persevering water birds and trees to represent overcoming obstacles in romance and leading to further commitment.
1180. Quiet Life,6.4, (480),1h 39m,"Refugee family in Sweden faces trauma after youngest daughter falls into unexplained coma when asylum denied. Parents struggle to find cure, resilience tested amid difficult circumstances."
1181. Johnny Puff: Secret Mission,4.6, (540),1h 27m,Follows Johnny Puff and his friends as they embark on a secret mission to save Taigasville from the evil plans of Otto von Walrus.
1182. Trucker,4.9, (95),1h 25m,"A trucker's family is killed in a fiery crash caused by a group of reckless teens. Rescued from the wreckage and nursed back to health by a mysterious old man, the trucker exacts brutal revenge on the teens who destroyed his life."
1183. Little Wing,6.1, (1K),1h 40m,A 13-year-old girl is dragged into the world of pigeon racing as she deals with her parents' divorce and the impending loss of her home.
1184. Let's Both Try,5.1, (57),1h 16m,"Embarking on a wild romp through the Arizona deserts, a photographer-couple's relationship is pushed to its limits as they navigate a morally charged exploration of sexuality and divine meaning in the chaos of modern life."
1185. Boat,5.3, (1.1K),2h 6m,"10 people escape bombing on small boat, which unexpectedly stops and sinks mid-journey. Passengers struggle to survive as boat goes down."
1186. Lola James,3.8, (1.4K),1h 24m,"Lola James works to save enough money to get her little brother Arlo out of their toxic home. Arlo keeps her hopeful--until one tragic night when her whole world gets uprooted. From that moment on, nothing will ever be the same."
1187. Takas,4.4, (137),48m,"Best friends, Angel and Lexi, run away after committing a crime. Their seemingly quiet life becomes messy when a new man enters the picture."
1188. Wanted Man,4.9, (3.1K),1h 25m,"Follows a police officer who must retrieve an eyewitness and escort her after a cartel shooting leaves several DEA agents dead, but then he must decide who to trust when they discover that the attack was executed by American forces."
1189. Standing on the Shoulders of Kitties,6.2, (879),1h 51m,"Bubbles' band ""The Shitrockers"" lands a European tour but gets kicked off, forcing them to busk. Randy is their roadie. Can Ricky and Julian save them from the streets of Prague?"
1190. Protein,5.1, (531),1h 40m,"A gym-obsessed serial killer murders and eats a local drug dealer for their protein, inadvertently sparking a brutal and bloodthirsty turf war between rival gangs."
1191. Running on Empty,4.9, (905),1h 31m,"Follows Mort who discovers he has less than a year to live, and after his fiancé leaves him, he meets Kate in a dating service that matches people by their death dates, all while being stalked by a disturbed pimp."
1192. The Vampire Next Door,4.7, (1K),1h 50m,"Introverted Cameron, is desperately in love with his high school crush Diane. But his romantic pursuit is halted when Victoria, a female vampire moves in next door. Cameron soon discovers he's in the middle of a life-and-death adventure."
1193. House of Spoils,5.1, (4.5K),1h 41m,"It tells the story of a chef who opens her first restaurant where she battles kitchen chaos, a dubious investor and self doubt, but the pressure heats up thanks to the spirit of the estate's previous owner who threatens to sabotage her."
1194. Clear Cut,3.6, (750),1h 28m,A team of loggers discover a meth cook site in the middle of the forest and are forced to fight for their lives while being hunted by a drug cartel.
1195. Bad Newz,4.7, (28K),2h 22m,"A crazy laugh riot which will show the outcomes of two sophisticated Punjabi men and a Punjabi girl. One of the men has a one night stand with the girl and somehow, craziness happens when she is pregnant unexpectedly."
1196. Harry Potter and the Stone,7.6, (273),2h 32m,"Harry Potter, an eleven-year-old orphan, discovers that he is a wizard and is invited to study at Hogwarts. Even as he escapes a dreary life and enters a world of magic, he finds trouble awaiting him."
1197. All That We Love,6.3, (315),1h 30m,"Upon the loss of her beloved dog, Emma faces an empty nest and renewed feelings for her estranged ex-husband, as she navigates the joy and sorrow of starting anew."
1198. Hide N Seek,8.3, (2.4K),2h 14m,"Vaishnavi, a determined investigator, discovers a disturbing link between multiple murders, taking her on a dangerous quest to unveil a dark conspiracy in this gripping Indian crime drama."
1199. White Snake: Afloat,6.9, (834),2h 13m,"Xiaobai finally found Xu Xian, the reincarnation of Axuan, after 500 years, the two met on the Broken Bridge. Xiaobai and sister hid in the streets and alleys, started a lively life in human world with him and his brother-in-law Li Gongfu."
1200. The Roast of Tom Brady,7.2, (6.5K),2h 59m,"Tom Brady faces the heat in this livestreamed, star-studded roast hosted by Kevin Hart."
1201. Murder Mubarak,5.8, (52K),2h 20m,"During a murder investigation, a non-traditional police officer turns a spotlight on an array of suspects. He steps into their world as an outsider, only to find there is so much more than what meets the eye."
1202. Continental Split,3.5, (740),1h 28m,"When a fault threatens to split the U.S., a desperate team of seismologists and government agents race to prevent disaster as the clock ticks down."
1203. Blade of Fury,6.2, (240),1h 30m,"Knife catcher Pei Xing originally exchanged his life for money as bounty hunter, but after witnessing the killing of people who stood up for justice, he gradually awakened and decided to fight back."
1204. Guns & Moses,5.4, (1K),1h 34m,A beloved small town rabbi in the high desert becomes an unlikely gunslinger after his community is violently attacked.
1206. Hijack 1971,6.8, (4.2K),1h 40m,People fight to survive when a passenger plane is hijacked over Korean airspace in 1971.
"1207. Canadian, Sniper",3.7, (736),1h 23m,"While attempting to peacefully reintegrate into civilian life, an army sniper struggles to discern reality from the haunting uncertainty of P.T.S.D."
1208. Plan B,5.9, (1.7K),1h 30m,"When a one night stand with her awkward neighbor leaves her pregnant, a young woman decides to quickly sleep with a successful businessman and tell him he's the father of her unborn baby."
1209. Coffintooth,5.1, (105),1h 16m,A madman known as Coffintooth stalks victims on Halloween Eve.
1210. Slightly New,6.0, (82),1h 32m,"Stuck in a dead-end sales job at a shady dealership, Brandon and Leo were always destined for mediocrity."
1211. Spread,5.7, (773),1h 33m,"To make ends meet, an aspiring journalist is forced to take a job at the world's largest porn magazine-beginning her journey to change her life, and the porn industry, forever."
1212. Reawakening,6.2, (663),1h 30m,A couple whose daughter aged 14 went missing and then reappears after a decade.
1213. Mom,4.6, (632),1h 35m,"Struggling with postnatal depression and feeling misunderstood by her husband, Meredith begins to experience terrifying visions foreshadowing an ultimate tragedy."
1214. Within the Pines,4.4, (414),1h 13m,"As sound recordist Sam Evans treks through an isolated forest, his mic picks up a sound no one wants to hear while alone in the woods."
1215. Carved,4.4, (3.3K),1h 35m,"A group of survivors finds themselves trapped in a historical reenactment village on Halloween, where they must unite to battle a sentient, vengeful pumpkin."
1216. Wild Diamond,6.2, (2.1K),1h 43m,"Liane, 19, lives with her mother and sister in Fréjus in the south of France. Consumed by aspirations of beauty and stardom, she auditions for a reality show called ""Miracle Island."""
